Index,CTE,p_error,d_error,i_error,steering_output
1074,0.5558,0.11116,-0.096,0.0861141,0.101274
1075,0.5032,0.10064,-0.1052,0.0866173,0.0820573
1076,0.3991,0.07982,-0.2082,0.0870164,-0.0413636
1077,0.315,0.063,-0.1682,0.0873314,-0.0178686
1078,0.1754,0.03508,-0.2792,0.0875068,-0.156613
1079,0.0755,0.0151,-0.1998,0.0875823,-0.0971177
1080,-0.0755,-0.0151,-0.302,0.0875068,-0.229593
1081,-0.2245,-0.0449,-0.298,0.0872823,-0.255618
1082,-0.3623,-0.07246,-0.2756,0.08692,-0.26114
1083,-0.4796,-0.09592,-0.2346,0.0864404,-0.24408
1084,-0.5435,-0.1087,-0.1278,0.0858969,-0.150603
1085,-0.6155,-0.1231,-0.144,0.0852814,-0.181819
1086,-0.6485,-0.1297,-0.066,0.0846329,-0.111067
1087,-0.6749,-0.13498,-0.0528,0.083958,-0.103822
1088,-0.6423,-0.12846,0.0652,0.0833157,0.0200557
1089,-0.4426,-0.08852,0.3994,0.0828731,0.393753
1090,-0.1543,-0.03086,0.5766,0.0827188,0.628459
1091,0.1307,0.02614,0.57,0.0828495,0.67899
1092,0.3078,0.06156,0.3542,0.0831573,0.498917
1093,0.542,0.1084,0.4684,0.0836993,0.660499
1094,0.6729,0.13458,0.2618,0.0843722,0.480752
1095,0.8206,0.16412,0.2954,0.0851928,0.544713
1096,0.9077,0.18154,0.1742,0.0861005,0.441841
1097,0.93,0.186,0.0446,0.0870305,0.317631
1098,0.91,0.182,-0.04,0.0879405,0.229941
1099,0.8313,0.16626,-0.1574,0.0887718,0.0976318
1100,0.7498,0.14996,-0.163,0.0895216,0.0764816
1101,0.5941,0.11882,-0.3114,0.0901157,-0.102464
1102,0.4045,0.0809,-0.3792,0.0905202,-0.20778
1103,0.266,0.0532,-0.277,0.0907862,-0.133014
1104,0.0547,0.01094,-0.4226,0.0908409,-0.320819
1105,-0.1571,-0.03142,-0.4236,0.0906838,-0.364336
1106,-0.2922,-0.05844,-0.2702,0.0903916,-0.238248
1107,-0.4735,-0.0947,-0.3626,0.0899181,-0.367382
1108,-0.629,-0.1258,-0.311,0.0892891,-0.347511
1109,-0.7144,-0.14288,-0.1708,0.0885747,-0.225105
1110,-0.7951,-0.15902,-0.1614,0.0877796,-0.23264
1111,-0.7246,-0.14492,0.141,0.087055,0.083135
1112,-0.5948,-0.11896,0.2596,0.0864602,0.2271
1113,-0.3788,-0.07576,0.432,0.0860814,0.442321
1114,-0.1588,-0.03176,0.44,0.0859226,0.494163
1115,-0.0187,-0.00374,0.2802,0.0859039,0.362364
1116,0.1681,0.03362,0.3736,0.086072,0.493292
1117,0.3231,0.06462,0.31,0.0863951,0.461015
1118,0.4041,0.08082,0.162,0.0867992,0.329619
1119,0.4854,0.09708,0.1626,0.0872846,0.346965
1120,0.5208,0.10416,0.0708,0.0878054,0.262765
1121,0.519,0.1038,-0.0036,0.0883244,0.188524
1122,0.4799,0.09598,-0.0782,0.0888043,0.106584
1123,0.4014,0.08028,-0.157,0.0892057,0.0124857
1124,0.3304,0.06608,-0.142,0.0895361,0.0136161
1125,0.2043,0.04086,-0.2522,0.0897404,-0.1216
1126,0.0592,0.01184,-0.2902,0.0897996,-0.18856
1127,-0.043,-0.0086,-0.2044,0.0897566,-0.123243
1128,-0.194,-0.0388,-0.302,0.0895626,-0.251237
1129,-0.2919,-0.05838,-0.1958,0.0892707,-0.164909
1130,-0.4264,-0.08528,-0.269,0.0888443,-0.265436
1131,-0.537,-0.1074,-0.2212,0.0883073,-0.240293
